parameter,min_value,max_value,condition,recommendation,severity
irca,0.0,5.0,<=5,El agua es apta para consumo humano,baja
irca,0.0,5.0,<=5,Continuar con el control y vigilancia regular,baja
irca,5.01,14.0,<=14,Agua susceptible de mejoramiento,media
irca,5.01,14.0,<=14,Realizar análisis más frecuentes,media
irca,5.01,14.0,<=14,Considerar métodos de purificación adicionales,media
irca,14.01,35.0,<=35,Agua no apta para consumo humano,alta
irca,14.01,35.0,<=35,Contactar con autoridad sanitaria local,alta
irca,14.01,35.0,<=35,Hervir el agua antes de consumir,alta
irca,35.01,80.0,<=80,Agua no apta para consumo humano - ALTO RIESGO,muy_alta
irca,35.01,80.0,<=80,Notificar a autoridades sanitarias inmediatamente,muy_alta
irca,35.01,80.0,<=80,Usar solo agua embotellada o hervida,muy_alta
irca,80.01,999.0,>80,AGUA INVIABLE SANITARIAMENTE,critica
irca,80.01,999.0,>80,Contactar urgentemente con autoridades,critica
irca,80.01,999.0,>80,No usar para ningún tipo de consumo,critica
ph,0.0,6.49,<6.5,pH bajo: Considerar neutralización,media
ph,8.51,14.0,>8.5,pH alto: Revisar tratamiento químico,media
turbidity,5.01,999.0,>5,Alta turbidez: Mejorar filtración,alta
temperature,25.01,999.0,>25,Temperatura elevada: Riesgo de proliferación bacteriana,alta
